,model_id,name,type,price,img_url
0,0,195/55R16タイヤ＆16×6Jアルミホイール（切削光輝＋ダークグレーメタリック/センターオーナメント付）,メーカーオプション,39600,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/10l.jpg
1,0,バイカラーLEDフォグランプ（切り替え式）　パノラミックビューモニター付車、LEDフロントフォグランプ付車,販売店オプション,49500,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/dcsu.jpg
2,0,サイドバイザー（RVワイド）,販売店オプション,13200,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/k0qb.jpg
3,0,GRカーボンナンバーフレーム　フロント用,販売店オプション,19800,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/vac6.jpg
4,0,GRカーボンナンバーフレーム　リヤ用,販売店オプション,19800,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/vac6.jpg
5,0,MODELLISTAエアロパーツセット,販売店オプション,122100,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wacu.jpg
6,0,フロントスポイラー,販売店オプション,48400,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wa1c.jpg
7,0,サイドスカート,販売店オプション,41800,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wa2c.jpg
8,0,リヤスパッツ,販売店オプション,31900,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wa3c.jpg
9,0,クールシャインキット,販売店オプション,115500,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wfau.jpg
10,0,フロントグリルガーニッシュ（メッキ）,販売店オプション,25300,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wf5a.jpg
11,0,サイドドアガーニッシュ（メッキ）,販売店オプション,38500,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wf2a.jpg
12,0,バックドアガーニッシュ（メッキ）,販売店オプション,22000,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wfla.jpg
13,0,ミラーガーニッシュ（メッキ）,販売店オプション,16500,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wfha.jpg
14,0,ドアハンドルガーニッシュ（メッキ）,販売店オプション,13200,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wf8a.jpg
15,0,リヤバンパープロテクター,販売店オプション,7700,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wam2.jpg
16,0,16インチアルミホイール＆タイヤセット,販売店オプション,143000,https://toyota.jp/tcv/resources/aqua/002_p_006/images/ex/wd61.jpg
